Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
PRODUCT,ROCCO GOLD (LT),BOX,950,,ROCCO GOLD (LT),850,,,,,,104,,,,,
PRODUCT,ROCCO LAVA (D),BOX,1000,,ROCCO LAVA (D),900,,,,,,93,,,,,
PRODUCT,SPIDER WHITE (L),BOX,1000,,SPIDER WHITE (L),900,,,,,,101,,,,,
PRODUCT,EXXARO TILES (800X1600) MM OBERAN BROWN,BOX,5200,,EXXARO TILES (800X1600) MM OBERAN BROWN,4680,,,,,,50,,,,,
PRODUCT,(800X800) DC OCEAN WHITE,BOX,1150,,(800X800) DC OCEAN WHITE,1050,,,,,,99,,,,,
PRODUCT,GALAXY GOLD,BOX,1150,,GALAXY GOLD,1050,,,,,,119,,,,,
PRODUCT,(600X1200) WONDER FULL BROWN,BOX,1150,,(600X1200) WONDER FULL BROWN,1050,,,,,,72,,,,,
PRODUCT,SWIDEN GREMA,BOX,1100,,SWIDEN GREMA,1000,,,,,,30,,,,,
PRODUCT,(600X600) (DC) MIRACLE MILKY WHITE  ,PCS,800,,(600X600) (DC) MIRACLE MILKY WHITE  ,720,,,,,,,,,,,
PRODUCT,ROMANO WHITE,PCS,800,,ROMANO WHITE,720,,,,,,,,,,,
PRODUCT,GALAXY COTO,PCS,860,,GALAXY COTO,800,,,,,,,,,,,
PRODUCT,GALAXY RED,PCS,860,,GALAXY RED,800,,,,,,,,,,,
PRODUCT,GALAXY GRAY,PCS,860,,GALAXY GRAY,800,,,,,,,,,,,
PRODUCT,GALAXY GREEN,PCS,860,,GALAXY GREEN,800,,,,,,,,,,,
PRODUCT,(600X600) 3D P Q GRAY,PCS,800,,(600X600) 3D P Q GRAY,700,,,,,,,,,,,
PRODUCT,GRANITE SLAB (115X38) BRAZIL BROWN  ,PCS,130,,GRANITE SLAB (115X38) BRAZIL BROWN  ,120,,,,,,51,,,,,
PRODUCT,COIN BLACK (97X38),PCS,140,,COIN BLACK (97X38),130,,,,,,30,,,,,
PRODUCT,TIGER RED (92X33),PCS,140,,TIGER RED (92X33),130,,,,,,28,,,,,
PRODUCT,BLACK (01) (96X38) ,PCS,130,,BLACK (01) (96X38) ,120,,,,,,42,,,,,
PRODUCT,MULTI BLACK (80X36) ,PCS,130,,MULTI BLACK (80X36) ,120,,,,,,44,,,,,
PRODUCT,STEEEL GRAT 116X39,PCS,90,,STEEEL GRAT 116X39,80,,,,,,112,,,,,
PRODUCT,RAJASTAN RED (116X30),PCS,150,,RAJASTAN RED (116X30),140,,,,,,23,,,,,
PRODUCT,MAJESTIC BLACK (119X36),PCS,150,,MAJESTIC BLACK (119X36),140,,,,,,32,,,,,
PRODUCT,MULTI RED (118X36),PCS,150,,MULTI RED (118X36),140,,,,,,48,,,,,
PRODUCT,P WHITE 1) (105X34),PCS,110,,P WHITE 1) (105X34),100,,,,,,51,,,,,
PRODUCT,DIMOND YELLOW (92X36),PCS,120,,DIMOND YELLOW (92X36),110,,,,,,37,,,,,
