Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,HOLIX FLOOR 600X1200 MM ROCCO SLATE D,PCS,1000,,,900,,,,,,99,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO BROWN D,PCS,1000,,,900,,,,,,97,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO LAVA D,PCS,1000,,,900,,,,,,93,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO SPIDER WHITE L,PCS,1000,,,900,,,,,,101,,,,,
Product,EXXARO TILES 800X1600 MM OBERIAN BROWN,BOX,5200,,,4680,,,,,,50,,,,,
Product,EXXARO TILES 800X800 MM DC OCEAN WHITE,BOX,1150,,,1050,,,,,,99,,,,,
Product,EXXARO TILES 800X800 MM DC GALAXY GOLD,BOX,1150,,,1050,,,,,,119,,,,,
Product,EXXARO TILES 600X1200 MM WONDER FULL BROWN,BOX,1150,,,1050,,,,,,72,,,,,
Product,EXXARO TILES 600X1200 MM SWIDEN GREMA,BOX,1100,,,1000,,,,,,30,,,,,
Product,EXXARO TILES 600X600 MM DC MIRACLE MILKY WHITE,PCS,800,,,720,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC ROMANO WHITE,PCS,800,,,720,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY COTO,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY RED,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY GRAY,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY GREEN,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM 3D P Q GRAY,PCS,800,,,700,,,,,,0,,,,,
Product,GRANITE SLAB BRAZIL BROWN 115X38,PCS,130,,,120,,,,,,51,,,,,
Product,GRANITE SLAB COIN BLACK 97X38,PCS,140,,,130,,,,,,30,,,,,
Product,GRANITE SLAB TIGER RED 92X33,PCS,140,,,130,,,,,,28,,,,,
Product,GRANITE SLAB BLACK 01 80X36,PCS,130,,,120,,,,,,42,,,,,
Product,GRANITE SLAB MULTI BLACK 80X36,PCS,130,,,120,,,,,,44,,,,,
Product,GRANITE SLAB  STEEL GREY 116X39,PCS,90,,,80,,,,,,112,,,,,
Product,GRANITE SLAB RAJASTHAN RED 116X39,PCS,150,,,140,,,,,,23,,,,,
Product,GRANITE SLAB MAJESTIC BLACK 119X36,PCS,150,,,140,,,,,,32,,,,,
Product,GRANITE SLAB MULTI RED 118X36,PCS,150,,,140,,,,,,48,,,,,
Product,GRANITE SLAB P WHITE 1 105X34,PCS,110,,,100,,,,,,51,,,,,
Product,GRANITE SLAB DIAMOND YELLOW 92X36,PCS,120,,,110,,,,,,37,,,,,
Product,GRANITE SLAB P WHITE 2 93X33,PCS,110,,,100,,,,,,34,,,,,
Product,GRANITE SLAB BLACK MARKINO 112X34,PCS,140,,,130,,,,,,38,,,,,
Product,GRANITE SLAB BLACK POUL 95X39,PCS,130,,,120,,,,,,36,,,,,
Product,GRANITE SLAB MULTI WHITE 110X34,PCS,120,,,110,,,,,,38,,,,,
Product,GRANITE SLAB LEATHER BROWN 120X34,PCS,140,,,130,,,,,,17,,,,,
Product,GRANITE SLAB CHITRA BLACK 92X350,PCS,130,,,120,,,,,,32,,,,,
Product,GRANITE SLAB CATSAI 120X27,PCS,120,,,100,,,,,,17,,,,,
Product,GRANITE SLAB BROWN GRANITE 121X140,PCS,130,,,120,,,,,,53,,,,,
Product,GRANITE SLAB LEATHER WHITE 120X38,PCS,130,,,120,,,,,,31,,,,,
Product,GRANITE SLAB CHITRA BROWN 100X36,PCS,130,,,120,,,,,,28,,,,,
Product,GRANITE SLAB CHINA WHITE 98X30,PCS,100,,,90,,,,,,34,,,,,
Product,MARBLE SLAB COTTNY 85X33,PCS,140,,,130,,,,,,68,,,,,
Product,MARBLE SLAB COTTNY 89X31,PCS,140,,,130,,,,,,44,,,,,
Product,MARBLE SLAB COTTNY 75X50,PCS,140,,,130,,,,,,81,,,,,
Product,MARBLE SLAB COTTNY 78X42,PCS,140,,,130,,,,,,57,,,,,
Product,MARBLE SLAB ONEX 52X44,PCS,130,,,120,,,,,,65,,,,,
Product,MARBLE SLAB ONEX 52X46,PCS,130,,,120,,,,,,11,,,,,
Product,MARBLE SLAB ONEX 54X48,PCS,130,,,120,,,,,,20,,,,,
Product,MARBLE SLAB AGARIA WHITE 48X48,PCS,120,,,110,,,,,,11,,,,,
Product,MARBLE SLAB AGARIA WHITE 81X48,PCS,120,,,110,,,,,,46,,,,,
Product,MARBLE SLAB AGARIA WHITE 69X29,PCS,130,,,110,,,,,,19,,,,,
Product,MARBLE SLAB PISTA WHITE 61X39,PCS,120,,,100,,,,,,51,,,,,
Product,MARBLE SLAB PISTA WHITE 62X42,PCS,120,,,100,,,,,,86,,,,,
Product,MARBLE SLAB PISTA WHITE 68X33,PCS,120,,,100,,,,,,18,,,,,
Product,MARBLE SLAB PISTA BLACK 76X36,PCS,100,,,90,,,,,,48,,,,,
Product,MARBLE SLAB PISTA BLACK 68X49,PCS,100,,,90,,,,,,31,,,,,
Product,MARBLE SLAB PISTA BLACK 67X41,PCS,100,,,90,,,,,,45,,,,,
Product,MARBLE SLAB PISTA BLACK 67X49,PCS,100,,,90,,,,,,34,,,,,
Product,MARBLE SLAB LEMON DONGRI 110X42,PCS,100,,,90,,,,,,16,,,,,
Product,MARBLE SLAB LEMON DONGRI 48X50,PCS,100,,,90,,,,,,30,,,,,
Product,MARBLE SLAB NIZARNA WHITE 78X32,PCS,90,,,80,,,,,,27,,,,,
Product,MARBLE SLAB MORWAD WHITE 46X39,PCS,90,,,80,,,,,,10,,,,,
Product,MARBLE SLAB V. BLACK 45X48,PCS,100,,,90,,,,,,31,,,,,
Product,MARBLE SLAB PINK MARBLE 72X43,PCS,80,,,70,,,,,,11,,,,,
Product,MARBLE SLAB SHOWER MARBLE 72X38,PCS,80,,,70,,,,,,10,,,,,
Product,MARBLE SLAB GREEN MARBLE 110X30,PCS,80,,,80,,,,,,81,,,,,
Product,MARBLE SLAB LIRA CUT SIZE GREEN POLISH 27X24,PCS,75,,,70,,,,,,10,,,,,
Product,MARBLE SLAB LIRA CUT SIZE GREEN POLISH 30X24,PCS,75,,,70,,,,,,17,,,,,
Product,MARBLE SLAB LIRA CUT SIZE GREEN POLISH 33X24,PCS,75,,,70,,,,,,28,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X24,PCS,55,,,50,,,,,,49,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X27,PCS,55,,,50,,,,,,355,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X30,PCS,55,,,50,,,,,,359,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X33,PCS,55,,,50,,,,,,329,,,,,
Product,MARBLE SLAB LIRA CUT SIZE WHITE LIRA 24X36,PCS,55,,,50,,,,,,139,,,,,
Product,600X600 SAKAR DC CHRISTAL CHOCO,BOX,720,,,650,,,,,,156,,,,,
Product,600X600 SAKAR DC TROPIC CRIMA,BOX,650,,,588,,,,,,425,,,,,
Product,600X600 SAKAR DC GALAXY WHITE,BOX,650,,,588,,,,,,156,,,,,
Product,600X600 SAKAR DC 1128 GLOSSY,BOX,650,,,588,,,,,,104,,,,,
Product,600X600 SAKAR DC RUSTIC 1170,BOX,650,,,588,,,,,,154,,,,,
Product,600X600 SAKAR DC PLATINA BROWN,BOX,720,,,650,,,,,,451,,,,,
Product,600X600 SAKAR DC TROPIC PECH,BOX,650,,,588,,,,,,161,,,,,
Product,600X600 SAKAR DC PLATINA GREEN,BOX,720,,,650,,,,,,101,,,,,
Product,600X600 SAKAR DC PLATINUM SLATE,BOX,720,,,650,,,,,,196,,,,,
