Type,Item,code,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,HOLIX FLOOR 600X1200 MM VOX SMOKE D,HF0006,PCS,950,,,850,,,,,,0,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX GRAY LT,HF0007,PCS,900,,,800,,,,,,30,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO WHITE LT,HF0008,PCS,950,,,850,,,,,,94,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO CANVAS D,HF0009,PCS,1000,,,900,,,,,,64,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO GOLD LT,HF0010,PCS,950,,,850,,,,,,198,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO CHARCOL D,HF0011,PCS,1000,,,900,,,,,,100,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO SLATE D,HF0012,PCS,1000,,,900,,,,,,99,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO BROWN D,HF0013,PCS,1000,,,900,,,,,,97,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO LAVA D,HF0014,PCS,1000,,,900,,,,,,93,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO SPIDER WHITE L,HF0015,PCS,1000,,,900,,,,,,101,,,,,
Product,EXXARO TILES 800X1600 MM OBERIAN BROWN,ET0001,BOX,5200,,,4680,,,,,,50,,,,,
Product,EXXARO TILES 800X800 MM DC OCEAN WHITE,ET0002,BOX,1150,,,1050,,,,,,99,,,,,
Product,EXXARO TILES 800X800 MM DC GALAXY GOLD,ET0003,BOX,1150,,,1050,,,,,,119,,,,,
Product,EXXARO TILES 600X1200 MM WONDER FULL BROWN,ET0004,BOX,1150,,,1050,,,,,,72,,,,,
Product,EXXARO TILES 600X1200 MM SWIDEN GREMA,ET0005,BOX,1100,,,1000,,,,,,30,,,,,
Product,EXXARO TILES 600X600 MM DC MIRACLE MILKY WHITE,ET0006,PCS,800,,,720,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC ROMANO WHITE,ET0007,PCS,800,,,720,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY COTO,ET0008,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY RED,ET0009,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY GRAY,ET0010,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM DC GALAXY GREEN,ET0011,PCS,860,,,800,,,,,,0,,,,,
Product,EXXARO TILES 600X600 MM 3D P Q GRAY,ET0012,PCS,800,,,700,,,,,,0,,,,,
Product,GRANITE SLAB BRAZIL BROWN 115X38,GS0001,PCS,130,,,120,,,,,,51,,,,,
Product,GRANITE SLAB COIN BLACK 97X38,GS0002,PCS,140,,,130,,,,,,30,,,,,
Product,GRANITE SLAB TIGER RED 92X33,GS0003,PCS,140,,,130,,,,,,28,,,,,
Product,GRANITE SLAB BLACK 01 80X36,GS0004,PCS,130,,,120,,,,,,42,,,,,
Product,GRANITE SLAB MULTI BLACK 80X36,GS0005,PCS,130,,,120,,,,,,44,,,,,
Product,GRANITE SLAB  STEEL GREY 116X39,GS0006,PCS,90,,,80,,,,,,112,,,,,
Product,GRANITE SLAB RAJASTHAN RED 116X39,GS0007,PCS,150,,,140,,,,,,23,,,,,
Product,GRANITE SLAB MAJESTIC BLACK 119X36,GS0008,PCS,150,,,140,,,,,,32,,,,,
Product,GRANITE SLAB MULTI RED 118X36,GS0009,PCS,150,,,140,,,,,,48,,,,,
Product,GRANITE SLAB P WHITE 1 105X34,GS0010,PCS,110,,,100,,,,,,51,,,,,
Product,GRANITE SLAB DIAMOND YELLOW 92X36,GS0011,PCS,120,,,110,,,,,,37,,,,,
Product,GRANITE SLAB P WHITE 2 93X33,GS0012,PCS,110,,,100,,,,,,34,,,,,
Product,GRANITE SLAB BLACK MARKINO 112X34,GS0013,PCS,140,,,130,,,,,,38,,,,,
Product,GRANITE SLAB BLACK POUL 95X39,GS0014,PCS,130,,,120,,,,,,36,,,,,
Product,GRANITE SLAB MULTI WHITE 110X34,GS0015,PCS,120,,,110,,,,,,38,,,,,
Product,GRANITE SLAB LEATHER BROWN 120X34,GS0016,PCS,140,,,130,,,,,,17,,,,,
Product,GRANITE SLAB CHITRA BLACK 92X350,GS0017,PCS,130,,,120,,,,,,32,,,,,
Product,GRANITE SLAB CATSAI 120X27,GS0018,PCS,120,,,100,,,,,,17,,,,,
Product,GRANITE SLAB BROWN GRANITE 121X140,GS0019,PCS,130,,,120,,,,,,53,,,,,
Product,GRANITE SLAB LEATHER WHITE 120X38,GS0020,PCS,130,,,120,,,,,,31,,,,,
Product,GRANITE SLAB CHITRA BROWN 100X36,GS0021,PCS,130,,,120,,,,,,28,,,,,
Product,GRANITE SLAB CHINA WHITE 98X30,GS0022,PCS,100,,,90,,,,,,34,,,,,
Product,MARBLE SLAB COTTNY 85X33,MS0001,PCS,140,,,130,,,,,,68,,,,,
Product,MARBLE SLAB COTTNY 89X31,MS0002,PCS,140,,,130,,,,,,44,,,,,
Product,MARBLE SLAB COTTNY 75X50,MS0003,PCS,140,,,130,,,,,,81,,,,,
Product,MARBLE SLAB COTTNY 78X42,MS0004,PCS,140,,,130,,,,,,57,,,,,
Product,MARBLE SLAB ONEX 52X44,MS0005,PCS,130,,,120,,,,,,65,,,,,
Product,MARBLE SLAB ONEX 52X46,MS0006,PCS,130,,,120,,,,,,11,,,,,
Product,MARBLE SLAB ONEX 54X48,MS0007,PCS,130,,,120,,,,,,20,,,,,
Product,MARBLE SLAB AGARIA WHITE 48X48,MS0008,PCS,120,,,110,,,,,,11,,,,,
Product,MARBLE SLAB AGARIA WHITE 81X48,MS0009,PCS,120,,,110,,,,,,46,,,,,
Product,MARBLE SLAB AGARIA WHITE 69X29,MS0010,PCS,130,,,110,,,,,,19,,,,,
Product,MARBLE SLAB PISTA WHITE 61X39,MS0011,PCS,120,,,100,,,,,,51,,,,,
Product,MARBLE SLAB PISTA WHITE 62X42,MS0012,PCS,120,,,100,,,,,,86,,,,,
Product,MARBLE SLAB PISTA WHITE 68X33,MS0013,PCS,120,,,100,,,,,,18,,,,,
Product,MARBLE SLAB PISTA BLACK 76X36,MS0014,PCS,100,,,90,,,,,,48,,,,,
Product,MARBLE SLAB PISTA BLACK 68X49,MS0015,PCS,100,,,90,,,,,,31,,,,,
Product,MARBLE SLAB PISTA BLACK 67X41,MS0016,PCS,100,,,90,,,,,,45,,,,,
Product,MARBLE SLAB PISTA BLACK 67X49,MS0017,PCS,100,,,90,,,,,,34,,,,,
Product,MARBLE SLAB LEMON DONGRI 110X42,MS0018,PCS,100,,,90,,,,,,16,,,,,
Product,MARBLE SLAB LEMON DONGRI 48X50,MS0019,PCS,100,,,90,,,,,,30,,,,,
Product,MARBLE SLAB NIZARNA WHITE 78X32,MS0020,PCS,90,,,80,,,,,,27,,,,,
Product,MARBLE SLAB MORWAD WHITE 46X39,MS0021,PCS,90,,,80,,,,,,10,,,,,
Product,MARBLE SLAB V. BLACK 45X48,MS0022,PCS,100,,,90,,,,,,31,,,,,
Product,MARBLE SLAB PINK MARBLE 72X43,MS0023,PCS,80,,,70,,,,,,11,,,,,
Product,MARBLE SLAB SHOWER MARBLE 72X38,MS0024,PCS,80,,,70,,,,,,10,,,,,
